accession,source,disposition,analysis_role,reason_or_guardrail,screening_audit_date,audit_status,assay_or_resource,released_input_used,reported_or_retained_units,inferential_unit,pairing_or_independence,missing_or_unavailable,preprocessing_or_mapping,sensitivity_or_guardrail,claim_ceiling
GSE173900,GEO,not_evaluable_contrast,bulk-tissue metadata reaudit,The released 9-sample count matrix contains keloid tissues only despite the broad series description; no normal-reference frozen contrast is available.,2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,The released 9-sample count matrix contains keloid tissues only despite the broad series description; no normal-reference frozen contrast is available.,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE178411,GEO,included,clinical injury-to-scar trajectory,patient-condition aggregation and composition sensitivity,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Bulk skin transcriptomics,Released expression matrix and patient-condition metadata,108 released samples collapsed to 97 patient-condition units,Patient-condition unit,Repeated profiles were aggregated within patient and condition,Clinical outcomes and all injury stages were not uniformly available per patient,Within-accession score projection and FSSI-excluded rank-NNLS composition sensitivity,Raw and composition-residual effects reported together,Injury-to-scar trajectory and composition sensitivity; not longitudinal prognosis
GSE181297,GEO,included_development,state and spatial development,one participant in communication inference,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,10x scRNA-seq plus Visium spatial transcriptomics,Released single-cell matrices and extracted spatial expression archive,"Development single-cell samples and 7,507 spatial spots across four samples",Donor/accession for development; spot within sample for descriptive spatial analysis,One participant contributed to focused communication inference,Raw spatial coordinates were absent from the extracted archive used here,"Marker-supported annotation, donor pseudobulk and spot-level module scoring",Spatial result restricted to co-enrichment; no adjacency or neighbourhood claim,Development and spot-level co-enrichment context only
GSE181316,GEO,included,keloid frozen projection,anatomical samples collapsed to donor,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,anatomical samples collapsed to donor,"Tiered keloid frozen projection evidence only; no diagnostic, prognostic or efficacy claim"
GSE181318,GEO,excluded_adjacent_resource,neural context,overlapping source study; not an independent disease cohort,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,overlapping source study; not an independent disease cohort,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE188952,GEO,included_exploratory,scar-type specificity,three to five samples per scar type,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,three to five samples per scar type,"Tiered scar-type specificity evidence only; no diagnostic, prognostic or efficacy claim"
GSE191067,GEO,included,four-tissue reference sensitivity,12 matrix samples; donor pairing unresolved,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,10x Genomics scRNA-seq,Released dense count matrix and GEO sample metadata,"187,374 source cells; 98,047 QC-retained cells; 12 matrix libraries across four tissue contexts",Matrix library/sample; cells nested within sample,Three samples per tissue context; suffix pairing explored but donor pairing remains unconfirmed,"Unfiltered empty droplets, a full author-labelled object and a confirmed donor-pair map were unavailable",Full-matrix QC followed by frozen-feature projection and reference label transfer using shared features,"Cell-count reconciliation, marker concordance, doublet-score sensitivity, gene bootstrap and context-separated displays",Within-dataset direction and reference-tissue sensitivity; not 12 independent donors or causal communication
GSE210434,GEO,eligible_not_run,culture-domain scar-type contrast,cultured fibroblasts cannot support tissue-level transfer,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,cultured fibroblasts cannot support tissue-level transfer,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE212954,GEO,included,paired lesion-zone geometry,Four centre-normal and three margin-normal patient contrasts were evaluable; centre-margin was retained regardless of its null direction.,2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Bulk RNA expression profiling,Released processed expression matrix and region/patient metadata,Four centre-normal and three margin-normal patient contrasts; available centre-margin pairs,Patient-level paired regional contrast,Within-patient region labels were retained,Unreleased or absent regions were not imputed,Fixed-gene mapping and within-patient score differences,"Centre-normal, margin-normal and centre-margin contrasts reported separately with exact small-sample tests",Patient-linked directional evidence; limited precision and no recurrence inference
GSE218007,GEO,included,patient-resolved regional geometry,Twenty-three regions from six keloid patients and paired superficial/deep regions from three normal-skin donors; regional samples were collapsed within donor before disease inference and used as within-patient contrasts for geometry.,2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Affymetrix Clariom D whole-transcriptome array,Released CEL-derived matrix with official Bioconductor annotation and regional metadata,23 regions from six keloid patients and paired superficial/deep regions from three normal-skin donors,Patient or donor after within-person regional collapse,Within-patient keloid regions and within-donor normal dermal depths,One OSS69 peripheral-reticular sample was absent and not imputed,"Official probe-to-gene mapping, fixed-gene scoring and prespecified regional collapse","Disease, centre-periphery and deep-superficial effects kept separate",Disease and dermal-geometry evidence in this cohort; not a diagnostic threshold
GSE220300,GEO,excluded_adjacent_resource,Schwann-cell context,neural component rather than independent fibroblast-state validation,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,neural component rather than independent fibroblast-state validation,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE227391,GEO,excluded_feature_coverage,targeted screen,33-gene panel has zero overlap with 18 FSSI genes,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,33-gene panel has zero overlap with 18 FSSI genes,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE232079,GEO,included,measured corin response,Two DMSO and two corin expression replicates from each of seven cell sources were averaged within source; five keloid and two normal sources were analysed separately.,2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Measured corin perturbation expression profiling,Released DMSO and corin expression profiles,Seven cell sources: five keloid-derived and two normal; two technical profiles per condition and source,Independently maintained cell source,Technical profiles were averaged within source and condition,Few cell sources and no clinical endpoints,Frozen-score projection of source-level DMSO-minus-corin responses,Keloid-derived and normal sources reported separately; all source responses shown,Measured molecular response in cultured sources; not treatment efficacy
GSE237754,GEO,excluded_small_n,case-level scRNA context,one keloid and one control library,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,one keloid and one control library,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE243716,GEO,included_development,direct keloid-hypertrophic context,same-participant two-tissue design,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,10x Genomics v3 scRNA-seq,Released processed single-cell matrix and metadata,"19,622 cells from two scar tissues from the same participant",Participant/tissue pseudobulk,Same-participant keloid and hypertrophic-scar design,Only one participant; no population-level disease contrast,"Per-sample QC, fibroblast annotation and donor-level development scoring",Retained as a low-diversity development domain in hierarchical bootstrap,Coordinate development context; not an independent cohort validation
GSE246562,GEO,included,mechanical stiffness response,three paired donors per disease group,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,three paired donors per disease group,"Tiered mechanical stiffness response evidence only; no diagnostic, prognostic or efficacy claim"
GSE253664,GEO,excluded_metadata,culture context,GEO source metadata internally inconsistent,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,GEO source metadata internally inconsistent,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE261116,GEO,excluded_small_n,radiation response,one library per condition,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,one library per condition,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE262112,GEO,excluded_cell_line,technical culture response,cell lines with technical repeats,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,cell lines with technical repeats,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE266334,GEO,excluded_imbalanced,PIEZO2 scRNA context,three keloids and one normal; not balanced validation,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,three keloids and one normal; not balanced validation,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE266338,GEO,included_descriptive,PIEZO2-positive fibroblast context,one profile per group; descriptive only,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,one profile per group; descriptive only,"Tiered PIEZO2-positive fibroblast context evidence only; no diagnostic, prognostic or efficacy claim"
GSE270438,GEO,excluded_cell_selection,immune-side context,CD45-positive enrichment unsuitable for fibroblast projection,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,CD45-positive enrichment unsuitable for fibroblast projection,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE274709,GEO/PMC,not_evaluable_endpoint,recurrence-context candidate,"Raw sequencing is public, but Supplementary Table S1 does not map the ten KL cases to recurrence status or time; no recurrence analysis was guessed from order or PIEZO2 expression.",2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,"Raw sequencing is public, but Supplementary Table S1 does not map the ten KL cases to recurrence status or time; no recurrence analysis was guessed from order or PIEZO2 expression.",Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE282479,GEO,included,measured paricalcitol calibration,Three keloid and four normal donor-matched untreated/paricalcitol contrasts; treatment response is reported within context and is not an efficacy claim.,2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Measured paricalcitol perturbation expression profiling,Released untreated and treated donor-linked profiles,Three keloid and four normal donor-matched contrasts,Donor-level paired contrast,Untreated and treated profiles were matched within donor,Small donor counts and no clinical outcomes,Frozen-score projection within keloid and normal contexts,Context-specific directions retained without pooling disease and normal donors,Measured context-specific molecular response; not efficacy
GSE282885,GEO,included_boundary,post-lock disease transfer,library-level; donor independence undocumented,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,library-level; donor independence undocumented,"Tiered post-lock disease transfer evidence only; no diagnostic, prognostic or efficacy claim"
GSE290035,GEO,included_boundary,technical ZNF469-knockdown response,"All six RNA profiles were retained, but the three profiles per condition are technical libraries from one CCD-1064Sk experiment. Results calibrate response direction and do not constitute donor-level perturbation validation.",2026-07-14,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,shZNF469 bulk RNA-seq in CCD-1064Sk fibroblasts,Six released RNA profiles,Three technical RNA libraries per condition from one cell-line experiment,Single experiment; technical library is not a biological replicate,No independent donors; conditions compared within one experimental context,"No donor replication, tissue endpoint or clinical phenotype",Gene-level and frozen-score control-minus-knockdown comparison,Technical t interval labelled as technical calibration only,Score calibration and sensitivity analysis; not donor-level perturbation validation
GSE293677,GEO,included,measured siRUNX2 response,three paired profiles,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,siRNA plus bulk RNA-seq,Released siControl and siRUNX2 expression matrix,Three paired primary keloid-fibroblast profiles,Paired biological profile,Control and siRUNX2 pairing was retained,Only three pairs and no tissue or clinical endpoint,"Frozen-score, fixed-gene and focused pathway response analysis",Exact sign-flip test and gene-level directional display,Concordant measured molecular response; not complete state restoration or efficacy
GSE293834,GEO,excluded_small_n,culture shift,one matched donor,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,one matched donor,Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE303486,GEO,included,measured drug screen,25 conditions across three plates,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,DRUG-seq2 compound-response profiling,Released 288-profile expression matrix and plate/condition metadata,25 conditions across three replicate plates,Plate-level condition contrast,"Three plates, not 288 independent biological replicates",No donor-resolved clinical response and some compound effects are imprecise,Frozen-score condition contrasts with exact-name LINCS crosswalk,All compounds retained; plate uncertainty and LINCS permutation comparison reported,Measured screening response for prioritisation; not efficacy or a universal drug rank
GSE303487,GEO,included_descriptive,focused FR-1 response,two profiles per condition,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,two profiles per condition,"Tiered focused FR-1 response evidence only; no diagnostic, prognostic or efficacy claim"
GSE307210,GEO,included,measured siPOSTN response,three profiles per group; pairing undocumented,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,three profiles per group; pairing undocumented,"Tiered measured siPOSTN response evidence only; no diagnostic, prognostic or efficacy claim"
GSE307504,GEO,included_context,coordinate-aware spatial boundary,retrospective spatial context,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,10x scRNA-seq plus Visium spatial transcriptomics,Released processed spatial expression and coordinate files,Two spatial samples with coordinate-aware spots,Spot neighbourhood within sample for descriptive sensitivity,No independent cohort-level disease inference from two spatial samples,Small spatial sample count,Coordinate-aware neighbourhood analysis using the prespecified state modules,Used only as a retrospective boundary for coordinate-aware localisation,Spatial neighbourhood context; not causal interaction or independent validation
GSE320017,GEO,included_context,longitudinal laser context,four participants across repeated times,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,10x Genomics scRNA-seq,Released longitudinal single-cell matrices and metadata,16 matrices from four participants across repeated laser-treatment time points,Participant-time point,Repeated time points were kept within participant,Only four participants and incomplete cell-state coverage at some time points,Descriptive fixed-score trajectories with signature-availability checks,Individual trajectories shown; no pooled cell-level inference,Longitudinal clinical context only; not treatment-effect validation
GSE335482,GEO,included_boundary,paired lesion-zone transfer,four paired participants,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,four paired participants,"Tiered paired lesion-zone transfer evidence only; no diagnostic, prognostic or efficacy claim"
GSE44270,GEO,included_lower_tier,legacy bulk/culture context,experiment-standardised rather than frozen projection,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,experiment-standardised rather than frozen projection,"Tiered legacy bulk/culture context evidence only; no diagnostic, prognostic or efficacy claim"
GSE7890,GEO,included,measured hydrocortisone response,five paired keloid fibroblast strains,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,five paired keloid fibroblast strains,"Tiered measured hydrocortisone response evidence only; no diagnostic, prognostic or efficacy claim"
GSE83286,GEO,not_evaluable,small paired array candidate,"Three reported earlobe-keloid/normal pairs were identified, but the public one-colour lncRNA-array release did not provide an auditable probe-to-symbol mapping for the frozen genes.",2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Candidate public resource; not outcome-analysed,No outcome-generating input used,Not applicable,Not applicable,Not applicable,"Three reported earlobe-keloid/normal pairs were identified, but the public one-colour lncRNA-array release did not provide an auditable probe-to-symbol mapping for the frozen genes.",Not analysed,"The exclusion, not-run or not-evaluable decision remains visible in the audit",No evidential contribution beyond candidate-set accounting
GSE90051,GEO,included,paired whole-tissue frozen transport,Seven same-patient active-keloid versus adjacent-normal two-colour arrays; all seven fixed-weight and rank-normalised responses were positive; released VALUE scale inconsistency is disclosed.,2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Paired two-colour expression microarray,Released feature-level lesion-to-adjacent-skin ratios and probe annotation,Seven same-patient active-keloid versus adjacent-skin contrasts,Patient-level paired contrast,Pairing was explicit in the source record,The released VALUE range was inconsistent with the stated scale label,Fixed-gene projection with rank-normalisation as the locked primary analysis,Untransformed values retained only as a provenance sensitivity; all seven paired directions shown,Within-patient directional transport; absolute cross-platform score magnitude is not interpretable
GSE92566,GEO,included_context,whole-tissue deconvolution,composition sensitivity; not single-cell transfer,2026-07-12,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Public transcriptomic resource,Released processed expression object and metadata used as documented in the source-specific manifest,"Source-reported samples, profiles or accessions; see the source-specific manifest",Source-defined biological unit; technical repeats were collapsed where mapping permitted,Pairing was used only when documented; otherwise the released unit was named explicitly,"Unreleased fields remain unavailable; no missing sample, region or endpoint was imputed",Within-accession preprocessing and fixed-gene mapping; no cross-accession expression pooling,composition sensitivity; not single-cell transfer,"Tiered whole-tissue deconvolution evidence only; no diagnostic, prognostic or efficacy claim"
LOU2026_NCOMMS,Nature Communications source data,included_boundary,measured adrenergic-response boundary,"Official 6 h and 24 h RNA-seq source data for control, epinephrine and epinephrine-plus-metoprolol cultured fibroblasts were projected with frozen weights; null whole-programme shifts were retained alongside TSN-pathway activation.",2026-07-13,retrospective_complete_candidate_set_not_prospective_PRISMA_registration,Published cultured-fibroblast RNA-seq source data,"Official 6 h and 24 h control, epinephrine and epinephrine-plus-metoprolol source workbook",Three released profiles per group and time point,Source-reported profile within time point,Replicate independence was limited to the source-described experiment,No donor-resolved clinical outcome,Frozen-score contrasts plus source-defined TSN readout,Broad coordinate and mechanism-specific readout interpreted separately,Measured mechanistic boundary; not a clinical response estimate
